MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Myslibořice,Třebíč,Myslibořicích,"49.10293333,15.98456928"
Nárameč,Třebíč,Náramči,"49.26445439,15.97474225"
Nový Telečkov,Třebíč,Novém Telečkově,"49.32121167,15.93837488"
Třebovice,Ústí nad Orlicí,Třebovicích,"49.85928006,16.50209069"
Újezd u Chocně,Ústí nad Orlicí,Újezdě u Chocně; Újezdu u Chocně,"50.02693204,16.16464996"
Vlčkov,Svitavy,Vlčkově,"49.90760933,16.35002171"
Zádolí,Ústí nad Orlicí,Zádolí,"49.90318347,16.12711376"
Žamberk,Ústí nad Orlicí,Žamberku; Žamberce,"50.08604047,16.46744545"
Bedřichov,Blansko,Bedřichově,"49.46120578,16.46534804"
Benešov,Blansko,Benešově,"49.50945456,16.77062500"
Brťov-Jeneč,Blansko,Brťově-Jenči,"49.41406699,16.51620645"
Cetkovice,Blansko,Cetkovicích,"49.57880860,16.72128183"
Černá Hora,Blansko,Černé Hoře,"49.41363422,16.58142419"
Doubravice nad Svitavou,Blansko,Doubravici nad Svitavou,"49.43666210,16.62939601"
Srbice,Teplice,Srbicích,"50.66074065,13.86939108"
Zabrušany,Teplice,Zabrušanech,"50.60504035,13.78758454"
Žalany,Teplice,Žalanech,"50.59011126,13.90643550"
Chabařovice,Ústí nad Labem,Chabařovicích,"50.67326657,13.94194777"
Chlumec,Ústí nad Labem,Chlumci,"50.69980440,13.93974554"
Chuderov,Ústí nad Labem,Chuderově,"50.68872784,14.04627873"
Malečov,Ústí nad Labem,Malečově,"50.63200495,14.11954877"
Žermanice,Frýdek-Místek,Žermanicích,"49.73846709,18.44286239"
Dolní Beřkovice,Mělník,Dolních Beřkovicích,"50.39320788,14.45033188"
Chorušice,Mělník,Chorušicích,"50.39064909,14.67085304"
Netřebice,Nymburk,Netřebicích,"50.21316266,15.14286979"
Kouty,Nymburk,Koutech,"50.19317590,15.14882434"
Křenek,Praha-východ,Křenku,"50.22961065,14.62952884"
Mšeno,Mělník,Mšeně; Mšenu,"50.43816122,14.63259283"
Neratovice,Mělník,Neratovicích,"50.25933165,14.51767517"
Loucká,Kladno,Loucké,"50.32755328,14.23910172"
Bílichov,Kladno,Bílichově,"50.26213339,13.91643089"
Hořešovičky,Kladno,Hořešovičkách,"50.27497030,13.95586196"
Tišice,Mělník,Tišicích,"50.26987407,14.55419505"
Ostrolovský Újezd,České Budějovice,Ostrolovském Újezdě; Ostrolovském Újezdu,"48.88069044,14.60061139"
Dasný,České Budějovice,Dasném,"49.01931166,14.40742273"
Velký Borek,Mělník,Velkém Borku,"50.34535527,14.51533909"
Zálezlice,Mělník,Zálezlicích,"50.30787741,14.43751900"
Bošilec,České Budějovice,Bošilci,"49.14938803,14.64623556"
Tašov,Ústí nad Labem,Tašově,"50.61460057,14.13589601"
Radkov,Opava,Radkově,"49.82552708,17.77019271"
Hlubočec,Opava,Hlubočci,"49.84056160,17.97037003"
Havlíčkův Brod,Havlíčkův Brod,Havlíčkově Brodě; Havlíčkově Brodu,"49.60789964,15.58072766"
Velké Albrechtice,Nový Jičín,Velkých Albrechticích,"49.75043092,18.04397829"
Čachotín,Havlíčkův Brod,Čachotíně,"49.69525134,15.60863779"
Dlouhá Ves,Havlíčkův Brod,Dlouhé Vsi,"49.57860139,15.67478492"
Golčův Jeníkov,Havlíčkův Brod,Golčově Jeníkově,"49.81631266,15.47691540"
Kateřinice,Nový Jičín,Kateřinicích,"49.66917808,18.18821141"
Habry,Havlíčkův Brod,Habrech,"49.75607904,15.48490846"
Hněvkovice,Havlíčkův Brod,Hněvkovicích,"49.68330319,15.19965205"
Chrtníč,Havlíčkův Brod,Chrtníči,"49.76759393,15.44366529"
Bdín,Rakovník,Bdíně,"50.21422837,13.85882022"
Polepy,Litoměřice,Polepech,"50.50570474,14.26456369"
Kalivody,Rakovník,Kalivodách,"50.20851048,13.84193671"
Nová Ves nad Lužnicí,Jindřichův Hradec,Nové Vsi nad Lužnicí,"48.81070483,14.92557615"
Staňkov,Jindřichův Hradec,Staňkově,"48.97959091,14.95270611"
Dobrohošť,Jindřichův Hradec,Dobrohošti,"49.07843990,15.48849339"
