MUNICIPALITY,REGION,LOCATIVE
Broumy,Beroun,Broumech
Brozany nad Ohří,Litoměřice,Brozanech
Brtnice,Jihlava,Brtnici
Brtnička,Jihlava,Brtničce
Brťov-Jeneč,Blansko,Brťově-Jenči
Brumov,Brno-venkov,Brumově
Brumov-Bylnice,Zlín,Brumově-Bylnici
Brumovice,Opava,Brumovicích
Bruntál,Bruntál,"Bruntále,Bruntálu"
Brusné,Kroměříž,Brusném
Brušperk,Frýdek-Místek,"Brušperku,Brušperce"
Bruzovice,Frýdek-Místek,Bruzovicích
Brzánky,Litoměřice,Brzánkách
Brzice,Náchod,Brzicích
Brzkov,Jihlava,Brzkově
Břasy,Rokycany,"Břasích,Břasech"
Břeclav,Břeclav,Břeclavi
Břehov,České Budějovice,Břehově
Břehy,Pardubice,"Břehách,Březích"
Břest,Kroměříž,"Břestu,Břestě"
Břestek,Uherské Hradiště,Břestku
Břevnice,Havlíčkův Brod,"Břevnici,Břevnicích"
Březejc,Žďár nad Sázavou,Březejci
Březí,Strakonice,Březí
Březí nad Oslavou,Žďár nad Sázavou,Březí
Březina,Jindřichův Hradec,Březině
Březinky,Svitavy,Březinkách
Březiny,Svitavy,Březinách
Březnice,Zlín,Březnici
Březník,Třebíč,"Březníku,Březníce"
Březno,Mladá Boleslav,Březně
Březolupy,Uherské Hradiště,Březolupech
Březová,Zlín,Březové
Březová nad Svitavou,Svitavy,Březové
Březová-Oleško,Praha-západ,Březové-Olešku
Březovice,Mladá Boleslav,Březovicích
Březské,Žďár nad Sázavou,Březském
Březsko,Prostějov,Březsku
Březůvky,Zlín,Březůvkách
Břežany,Rakovník,Břežanech
Břežany I,Kolín
Břežany II,Kolín
Břidličná,Bruntál,Břidličné
Bříství,Nymburk,Bříství
Bříšťany,Jičín,Bříšťanech
Bříza,Litoměřice,Bříze
Břvany,Louny,Břvanech
Bublava,Sokolov,Bublavě
Bubovice,Beroun,Bubovicích
Bučí,Plzeň-sever,Bučí
Bučina,Ústí nad Orlicí,Bučině
Bučovice,Vyškov,Bučovicích
Budčeves,Jičín,Budčevsi
Budeč,Jindřichův Hradec,Budči
Budětice,Klatovy,Buděticích
Budíkov,Pelhřimov,Budíkově
Budiměřice,Nymburk,Budiměřicích
Budislav,Tábor,Budislavi
Budišov nad Budišovkou,Opava,Budišově
Budišovice,Opava,Budišovicích
Budkov,Prachatice,Budkově
Budyně,Strakonice,Budyni
Budyně nad Ohří,Litoměřice,Budyni
Buchlovice,Uherské Hradiště,Buchlovicích
Bujanov,Český Krumlov,Bujanově
Bujesily,Rokycany,"Bujesilech,Bujesilích"
Buk,Prachatice,Buku
Bukov,Žďár nad Sázavou,Bukově
Buková,Plzeň-jih,Bukové
Buková u Příbramě,Příbram,Bukové
Bukovany,Sokolov,Bukovanech
Bukovec,Frýdek-Místek,Bukovci
Bukovice,Brno-venkov,Bukovici
Bukovina,Blansko,Bukovině
Bukovina nad Labem,Pardubice,Bukovině
Bukovina u Čisté,Semily,Bukovině
Bukovina u Přelouče,Pardubice,Bukovině
Bukovinka,Blansko,Bukovince
Bukovka,Pardubice,Bukovce
Bukovník,Klatovy,"Bukovníku,Bukovníce"
Bukovno,Mladá Boleslav,Bukovně
Bukvice,Jičín,Bukvici
Bulhary,Břeclav,Bulharech
Bulovka,Liberec,Bulovce
Buřenice,Pelhřimov,Buřenicích
Buš,Praha-západ,Buši
Bušanovice,Prachatice,Bušanovicích
Bušín,Šumperk,Bušíně
Bušovice,Rokycany,Bušovicích
Buštěhrad,Kladno,"Buštěhradě,Buštěhradu"
Butoves,Jičín,Butovsi
Buzice,Strakonice,Buzicích
Býčkovice,Litoměřice,Býčkovicích
Býchory,Kolín,Býchorech
Býkev,Mělník,Býkvi
Bykoš,Beroun,Bykoši
Býkovice,Blansko,Býkovicích
Býkov-Láryšov,Bruntál,Býkově-Láryšově
Bylany,Chrudim,Bylanech
Bynovec,Děčín,Bynovci
Bystrá,Pelhřimov,Bystré
Bystrá nad Jizerou,Semily,Bystré
Bystré,Rychnov nad Kněžnou,Bystrém
Bystročice,Olomouc,Bystročicích
Bystrovany,Olomouc,Bystrovanech
Bystřany,Teplice,Bystřanech
Bystřec,Ústí nad Orlicí,Bystrci
Bystřice,Benešov,Bystřici
Bystřice nad Pernštejnem,Žďár nad Sázavou
Bystřice pod Hostýnem,Kroměříž
Bystřice pod Lopeníkem,Uherské Hradiště,Bystřici
Bystřička,Vsetín,Bystřičce
Byšice,Mělník,Byšicích
Býškovice,Přerov,Býškovicích
Býšovec,Žďár nad Sázavou,Býšovci
Býšť,Pardubice,Býšti
Byzhradec,Rychnov nad Kněžnou,Byzhradci
Bzenec,Hodonín,Bzenci
Bzová,Beroun,Bzové
Bžany,Teplice,Bžanech
Cebiv,Tachov,Cebivi
Cehnice,Strakonice,Cehnicích
Cejle,Jihlava,Cejli
Cekov,Rokycany,Cekově
Cep,Jindřichův Hradec,Cepu
Cerekvice nad Bystřicí,Jičín,Cerekvici
Cerekvice nad Loučnou,Svitavy,Cerekvici
Cerekvička-Rosice,Jihlava,Cerekvičce-Rosicích
Cerhenice,Kolín,Cerhenicích
Cerhonice,Písek,Cerhonicích
Cerhovice,Beroun,Cerhovicích
Cetechovice,Kroměříž,Cetechovicích
Cetenov,Liberec,Cetenově
Cetkovice,Blansko,Cetkovicích
Cetoraz,Pelhřimov,Cetorazi
Cetyně,Příbram,Cetyni
Cidlina,Třebíč,Cidlině
Cikháj,Žďár nad Sázavou,Cikháji
Církvice,Kutná Hora,"Církvici,Církvicích"
Císařov,Přerov,Císařově
Citice,Sokolov,Citicích
Cítoliby,Louny,Cítolibech
Cítov,Mělník,Cítově
Cizkrajov,Jindřichův Hradec,Cizkrajově
Cotkytle,Ústí nad Orlicí,Cotkytli
Crhov,Blansko,Crhově
Ctětín,Chrudim,Ctětíně
Ctiboř,Benešov,Ctiboři
Ctidružice,Znojmo,Ctidružicích
Ctiměřice,Mladá Boleslav,Ctiměřicích
Ctiněves,Litoměřice,Ctiněvsi
Cvikov,Česká Lípa,Cvikově
Cvrčovice,Kladno,Cvrčovicích
Čachotín,Havlíčkův Brod,Čachotíně
Čachovice,Mladá Boleslav,Čachovicích
Čachrov,Klatovy,Čachrově
Čakov,České Budějovice,Čakově
Čaková,Bruntál,Čakové
Čakovičky,Mělník,Čakovičkách
Čankovice,Chrudim,Čankovicích
Čáslav,Kutná Hora,Čáslavi
Čáslavice,Třebíč,Čáslavicích
Čáslavsko,Pelhřimov,Čáslavsku
Částkov,Uherské Hradiště,Částkově
Častohostice,Třebíč,Častohosticích
Častolovice,Rychnov nad Kněžnou,Častolovicích
Častrov,Pelhřimov,Častrově
Časy,Pardubice,Časech
Čavisov,Ostrava,Čavisově
Čebín,Brno-venkov,Čebíně
Čečelice,Mělník,Čečelicích
